               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.16029,            0.018238,            0.037919,           0.0029777,            0.088949,            0.001668,          0.00040446,             0.14728,            0.013926,            0.035349,               2e-05,               2e-05,             0.09982
                   1,             0.14842,            0.026443,            0.034879,           0.0013416,            0.033624,          0.00072459,          0.00016578,             0.13878,            0.017745,            0.032659,               5e-05,               5e-05,             0.09955
                   2,              0.1427,            0.028917,            0.032236,           0.0023045,             0.07381,           0.0012464,          0.00028991,             0.13638,            0.018176,            0.030979,          7.9999e-05,          7.9999e-05,             0.09928
                   3,             0.14102,            0.028628,            0.031205,          0.00092449,            0.034736,          0.00051093,          0.00012534,             0.13593,            0.017416,            0.030334,             0.00011,             0.00011,             0.09901
                   4,             0.14055,            0.026302,            0.030185,          0.00082386,           0.0087002,          0.00038853,          9.5407e-05,             0.13591,              0.0167,            0.030309,          0.00013999,          0.00013999,             0.09874
                   5,             0.14091,            0.025204,            0.030853,           0.0012062,            0.045319,           0.0007834,           0.0002038,             0.13595,            0.016548,            0.030407,          0.00016999,          0.00016999,             0.09847
                   6,             0.14053,            0.024088,            0.030974,           0.0013375,            0.050253,          0.00077191,          0.00016517,             0.13596,            0.017015,            0.030435,          0.00019998,          0.00019998,              0.0982
                   7,             0.14078,            0.024385,             0.03073,           0.0014222,            0.053435,          0.00082913,          0.00017187,             0.13598,            0.017946,            0.030438,          0.00022997,          0.00022997,             0.09793
                   8,             0.14067,            0.024416,            0.030224,           0.0015249,            0.056291,          0.00089084,          0.00017385,             0.13596,            0.018676,            0.030424,          0.00025996,          0.00025996,             0.09766
                   9,             0.14004,            0.025338,             0.03039,           0.0016094,            0.058434,          0.00094156,          0.00018832,             0.13594,            0.018742,            0.030376,          0.00028995,          0.00028995,             0.09739
                  10,             0.14013,             0.02477,            0.030743,            0.001754,            0.060122,           0.0010197,          0.00021485,             0.13594,            0.018153,            0.030244,          0.00031993,          0.00031993,             0.09712
                  11,             0.13934,            0.024885,            0.029985,           0.0018196,            0.066355,           0.0011523,          0.00025999,              0.1359,            0.017426,            0.030181,           0.0003499,           0.0003499,             0.09685
                  12,             0.13947,            0.024994,             0.02929,           0.0019407,             0.07077,           0.0013048,          0.00030294,             0.13581,            0.016926,            0.030205,          0.00037987,          0.00037987,             0.09658
                  13,              0.1399,            0.024673,            0.028801,           0.0022233,            0.072263,           0.0014025,          0.00033073,             0.13572,            0.016626,            0.030187,          0.00040984,          0.00040984,             0.09631
                  14,             0.13984,            0.025008,            0.028505,           0.0021881,            0.079016,           0.0015106,          0.00035808,             0.13568,            0.016456,            0.030361,           0.0004398,           0.0004398,             0.09604
