               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10867,            0.092306,            0.034865,           0.0016986,            0.063823,           0.0010627,          0.00025486,            0.097697,            0.085647,            0.031805,              0.0001,              0.0001,              0.0991
                   1,             0.10285,             0.09942,            0.032741,           0.0027035,            0.096156,           0.0017184,          0.00042802,            0.097958,            0.087354,            0.031375,          0.00020999,          0.00020999,             0.09811
                   2,             0.10113,            0.092483,               0.031,           0.0031194,            0.026165,           0.0017536,           0.0004063,            0.097231,            0.084589,            0.031463,          0.00031995,          0.00031995,             0.09712
                   3,            0.099447,            0.095846,            0.031233,           0.0026819,             0.10077,           0.0017853,          0.00043196,            0.097217,             0.08448,            0.031252,          0.00042986,          0.00042986,             0.09613
                   4,            0.096515,            0.091774,            0.031267,           0.0020408,            0.076678,           0.0020785,          0.00038171,             0.10003,            0.086382,            0.031699,          0.00053968,          0.00053968,             0.09514
                   5,            0.092532,            0.091764,            0.028875,           0.0022808,            0.084599,           0.0015725,          0.00033289,             0.11439,            0.083648,            0.035564,          0.00064939,          0.00064939,            0.094149
                   6,            0.089815,            0.089932,            0.025782,            0.011345,            0.072853,           0.0060142,           0.0016541,             0.12205,            0.076631,            0.054205,          0.00075898,          0.00075898,            0.093159
                   7,            0.088475,            0.086051,            0.023942,            0.092893,            0.062278,            0.054491,            0.017293,             0.12568,            0.074375,            0.079464,          0.00086841,          0.00086841,            0.092168
                   8,             0.08563,            0.084709,            0.022657,            0.070639,              0.1943,             0.05456,            0.015506,              0.1171,            0.089973,            0.070536,          0.00097766,          0.00097766,            0.091178
                   9,            0.083551,            0.089663,             0.02173,            0.066493,             0.14384,            0.050399,            0.012315,             0.10465,             0.10202,            0.044119,           0.0010867,           0.0010867,            0.090187
                  10,            0.081289,            0.086431,            0.021305,            0.096052,             0.13983,            0.070183,            0.018527,            0.094737,             0.10677,            0.028146,           0.0011955,           0.0011955,            0.089196
                  11,            0.078823,            0.084575,            0.019062,             0.18879,             0.20262,            0.099425,            0.025308,            0.091563,             0.09634,            0.023687,           0.0013041,           0.0013041,            0.088204
                  12,            0.079003,            0.084113,            0.019052,             0.11598,             0.28479,            0.058401,            0.014669,             0.10004,            0.072122,            0.033488,           0.0014124,           0.0014124,            0.087212
                  13,            0.076035,            0.078472,            0.016741,             0.12069,             0.30799,            0.078512,            0.020731,            0.090039,            0.076857,            0.028969,           0.0015204,           0.0015204,             0.08622
                  14,            0.077315,            0.081502,            0.017815,             0.25772,             0.34385,             0.17645,            0.052352,            0.083502,            0.077528,            0.020367,            0.001628,            0.001628,            0.085228
                  15,            0.074905,            0.081596,            0.016009,             0.21787,             0.37183,             0.16999,              0.0473,            0.078061,            0.080756,            0.025185,           0.0017354,           0.0017354,            0.084235
                  16,            0.073494,             0.07869,            0.016342,             0.25545,             0.45501,             0.19772,            0.054018,            0.077972,            0.067797,            0.024639,           0.0018423,           0.0018423,            0.083242
                  17,            0.072641,            0.076766,            0.015633,             0.22881,              0.3843,             0.17072,             0.05262,            0.088665,            0.070853,            0.026405,           0.0019489,           0.0019489,            0.082249
                  18,            0.071011,            0.076808,             0.01518,             0.29102,             0.47517,             0.28528,            0.097935,            0.072986,            0.064293,             0.01963,            0.002055,            0.002055,            0.081255
                  19,            0.069483,            0.078165,            0.014525,             0.32243,             0.41948,             0.24477,            0.086699,            0.080958,            0.072059,            0.021641,           0.0021607,           0.0021607,            0.080261
                  20,            0.067509,            0.076056,            0.014787,             0.29226,              0.5159,             0.33584,             0.12357,            0.067348,            0.070774,            0.021112,           0.0022659,           0.0022659,            0.079266
                  21,            0.067085,            0.073411,             0.01449,             0.30538,             0.44554,             0.24733,            0.089514,            0.069515,            0.070265,            0.025511,           0.0023706,           0.0023706,            0.078271
                  22,             0.06769,            0.073408,            0.013524,             0.28018,             0.42645,             0.21298,            0.056138,            0.082037,            0.071563,            0.027919,           0.0024748,           0.0024748,            0.077275
                  23,             0.06541,            0.071439,            0.015267,             0.38272,             0.51727,             0.35204,             0.11304,            0.070353,             0.06677,            0.018068,           0.0025785,           0.0025785,            0.076278
                  24,            0.066673,            0.072013,            0.012984,             0.42298,             0.48091,             0.39071,             0.14448,            0.068243,            0.065995,            0.016171,           0.0026816,           0.0026816,            0.075282
                  25,            0.066295,            0.069484,            0.014344,             0.42001,             0.51762,             0.40795,             0.14259,            0.067153,            0.065805,            0.016776,           0.0027841,           0.0027841,            0.074284
                  26,            0.065461,            0.071198,            0.013832,               0.456,             0.44248,             0.36616,             0.13313,            0.066193,            0.066793,            0.013748,            0.002886,            0.002886,            0.073286
                  27,            0.062863,            0.068141,            0.013449,             0.46951,             0.45278,             0.41719,             0.18244,             0.06586,            0.061363,            0.018907,           0.0029873,           0.0029873,            0.072287
                  28,            0.064041,            0.068238,            0.014003,             0.49315,              0.4991,             0.47164,             0.17883,            0.063569,             0.06321,            0.015093,            0.003088,            0.003088,            0.071288
                  29,            0.063157,            0.067577,            0.012547,             0.57122,             0.46617,             0.44441,              0.1864,            0.064918,            0.067154,            0.017427,            0.003188,            0.003188,            0.070288
                  30,            0.062651,            0.068474,            0.012867,             0.55892,             0.45419,             0.46869,             0.18761,            0.064845,            0.057574,            0.013224,           0.0032872,           0.0032872,            0.069287
                  31,            0.063936,            0.067006,            0.012839,             0.46814,              0.3762,             0.32999,             0.15707,            0.065664,            0.092154,            0.014087,           0.0033858,           0.0033858,            0.068286
                  32,            0.064352,            0.065504,            0.012692,             0.45799,             0.52011,             0.42059,             0.13425,            0.066575,            0.060466,            0.016347,           0.0034836,           0.0034836,            0.067284
                  33,            0.062949,            0.070661,            0.012545,             0.60197,             0.50932,              0.5311,             0.24995,            0.061376,             0.06534,             0.01436,           0.0035807,           0.0035807,            0.066281
                  34,            0.060439,            0.068148,            0.012825,             0.55868,             0.47076,             0.45023,             0.19915,            0.063076,            0.065924,            0.021518,           0.0036769,           0.0036769,            0.065277
                  35,            0.058846,            0.066159,            0.013011,             0.58274,             0.45951,             0.46387,             0.18459,            0.065526,            0.062224,            0.020522,           0.0037724,           0.0037724,            0.064272
                  36,            0.058396,            0.063264,              0.0124,             0.62592,             0.55318,             0.56101,             0.26957,            0.058651,            0.061246,             0.01354,            0.003867,            0.003867,            0.063267
                  37,            0.059094,            0.065316,            0.012538,             0.60975,             0.50415,             0.49403,             0.23915,            0.061973,            0.064762,            0.016333,           0.0039608,           0.0039608,            0.062261
                  38,            0.058897,            0.064732,            0.013142,             0.48508,             0.49133,             0.38427,             0.15967,            0.064247,            0.061645,            0.016446,           0.0040538,           0.0040538,            0.061254
                  39,            0.058227,            0.062803,            0.013036,             0.58724,             0.57173,              0.5159,               0.225,            0.058313,            0.054996,            0.016805,           0.0041458,           0.0041458,            0.060246
                  40,            0.058535,            0.065505,            0.012093,             0.60983,             0.53794,             0.52734,             0.23817,            0.060603,            0.059059,            0.012436,            0.004237,            0.004237,            0.059237
                  41,            0.059956,            0.067063,            0.012185,             0.63169,             0.52996,             0.54462,             0.22973,            0.062214,            0.056585,            0.012392,           0.0043272,           0.0043272,            0.058227
                  42,            0.058066,            0.064487,            0.012043,             0.64099,             0.57188,             0.57738,             0.24329,            0.061043,            0.058585,             0.01192,           0.0044165,           0.0044165,            0.057216
                  43,            0.058832,            0.067597,            0.012172,             0.64671,             0.53427,             0.55121,             0.27697,            0.055192,             0.05556,            0.011541,           0.0045048,           0.0045048,            0.056205
                  44,            0.057894,            0.063184,            0.013088,             0.65737,             0.54367,             0.59214,             0.31021,             0.05566,            0.057168,            0.011926,           0.0045921,           0.0045921,            0.055192
