               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10932,               0.141,            0.036715,                   0,                   0,                   0,                   0,                   0,                   0,                   0,               5e-05,               5e-05,             0.09955
                   1,            0.098044,              0.1318,            0.033028,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00011,             0.00011,             0.09901
                   2,            0.096913,             0.13528,            0.030664,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00016999,          0.00016999,             0.09847
                   3,            0.094127,             0.14674,            0.031002,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00022998,          0.00022998,             0.09793
                   4,            0.094478,             0.13992,            0.032032,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00028996,          0.00028996,             0.09739
                   5,             0.09497,             0.16767,            0.030636,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00034993,          0.00034993,             0.09685
                   6,            0.092865,             0.14319,            0.030504,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00040987,          0.00040987,             0.09631
                   7,             0.09153,             0.13861,            0.031737,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0004698,           0.0004698,             0.09577
                   8,             0.09257,             0.15523,             0.03015,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00052971,          0.00052971,             0.09523
                   9,            0.089579,             0.14421,             0.02972,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0005896,           0.0005896,             0.09469
                  10,            0.089027,             0.14303,            0.030413,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00064945,          0.00064945,            0.094149
                  11,            0.088628,             0.12525,            0.030139,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00070927,          0.00070927,            0.093609
                  12,            0.086749,             0.13518,            0.028938,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00076906,          0.00076906,            0.093069
                  13,            0.089245,             0.14348,            0.028763,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00082881,          0.00082881,            0.092529
                  14,             0.08419,             0.12427,            0.028807,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00088852,          0.00088852,            0.091989
                  15,            0.084918,               0.137,            0.027082,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00094819,          0.00094819,            0.091448
                  16,            0.084607,             0.12918,            0.026186,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0010078,           0.0010078,            0.090908
                  17,            0.083961,             0.13019,             0.02701,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0010674,           0.0010674,            0.090367
                  18,            0.082801,             0.12559,            0.025954,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0011269,           0.0011269,            0.089827
                  19,            0.082993,             0.12985,            0.024553,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0011864,           0.0011864,            0.089286
                  20,             0.08225,             0.12829,            0.024979,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0012458,           0.0012458,            0.088746
                  21,            0.080488,             0.12582,            0.023822,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0013051,           0.0013051,            0.088205
                  22,            0.081181,             0.11844,            0.023929,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0013644,           0.0013644,            0.087664
                  23,             0.07853,             0.12906,            0.023204,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014236,           0.0014236,            0.087124
                  24,             0.07958,             0.11818,            0.024338,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014827,           0.0014827,            0.086583
                  25,             0.07882,             0.12726,            0.023565,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0015418,           0.0015418,            0.086042
                  26,             0.07681,             0.11573,            0.024224,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0016008,           0.0016008,            0.085501
                  27,            0.076432,             0.11796,            0.022256,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0016597,           0.0016597,             0.08496
                  28,            0.074799,             0.12165,            0.023034,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0017185,           0.0017185,            0.084419
                  29,            0.076824,             0.12423,            0.022514,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0017773,           0.0017773,            0.083877
                  30,            0.074393,             0.11887,            0.021899,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0018359,           0.0018359,            0.083336
                  31,            0.073923,              0.1225,            0.023392,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0018945,           0.0018945,            0.082794
                  32,            0.071984,             0.11726,            0.022183,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001953,            0.001953,            0.082253
                  33,            0.073866,             0.12181,            0.021045,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020113,           0.0020113,            0.081711
                  34,            0.074911,             0.13071,            0.023124,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020696,           0.0020696,             0.08117
                  35,              0.0754,             0.11465,            0.021679,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0021278,           0.0021278,            0.080628
                  36,            0.071904,             0.11251,            0.021645,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0021858,           0.0021858,            0.080086
                  37,            0.071479,             0.11383,            0.020692,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0022438,           0.0022438,            0.079544
                  38,            0.071124,             0.11415,            0.020331,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023016,           0.0023016,            0.079002
                  39,            0.070075,             0.11416,            0.018952,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023594,           0.0023594,            0.078459
                  40,            0.071947,             0.10931,            0.019824,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.002417,            0.002417,            0.077917
                  41,            0.069516,             0.10624,            0.019503,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0024744,           0.0024744,            0.077374
                  42,            0.071531,             0.10317,            0.020921,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0025318,           0.0025318,            0.076832
                  43,             0.07193,             0.12446,              0.0184,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.002589,            0.002589,            0.076289
                  44,            0.070313,             0.11756,            0.018055,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0026462,           0.0026462,            0.075746
                  45,            0.070637,             0.11061,            0.018158,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027031,           0.0027031,            0.075203
